"","Date","Ring","Species","Age","Sex","Pit","Num.caught","PIT.year","hatch.year","Age.in.2021"
"3943",2020-11-13,"C5A1491","GRETI",4,"F","0700EE0CF1",4,2020,2019,"adult"
"3944",2020-11-18,"C5A1491","GRETI",4,"F","0700EE0CF1",4,2020,2019,"adult"
"3946",2020-02-12,"C5A1690","GRETI",5,"M","0700EE0CF6",1,2020,2019,"adult"
"3948",2020-11-18,"B5H0088","MARTI",2,"","0700EE0D44",1,2020,2020,"first.year"
"3949",2019-10-18,"C5A1115","GRETI",5,"M","0700EE0D53",2,2019,2018,"adult"
"3950",2020-02-19,"C5A1115","GRETI",6,"M","0700EE0D53",2,2020,2018,"adult"
"3951",2019-11-20,"C5A1363","GRETI",5,"F","0700EE0D6E",1,2019,2018,"adult"
"3952",2020-02-18,"C5A1705","GRETI",5,"M","0700EE0D7B",1,2020,2019,"adult"
"3953",2019-12-29,"C5A1529","GRETI",6,"M","0700EE0D91",1,2019,2017,"adult"
"3955",2020-01-16,"C5A1607","GRETI",6,"F","0700EE0DEE",1,2020,2018,"adult"
"3956",2019-10-16,"C5A1092","GRETI",6,"M","0700EE0DF4",1,2019,2017,"adult"
"3957",2019-09-12,"C5A1062","GRETI",3,"F","0700EE0DF8",2,2019,2019,"adult"
"3958",2019-10-30,"C5A1062","GRETI",5,"F","0700EE0DF8",2,2019,2018,"adult"
"3959",2020-09-29,"C5H4151","GRETI",3,"M","0700EE0E0E",2,2020,2020,"first.year"
"3960",2020-11-30,"C5H4151","GRETI",3,"M","0700EE0E0E",2,2020,2020,"first.year"
"3963",2020-02-11,"C5A1671","GRETI",6,"M","0700EE0E3C",1,2020,2018,"adult"
"3964",2019-11-18,"C5A1336","GRETI",5,"F","0700EE0ECF",1,2019,2018,"adult"
"3965",2020-11-18,"B5H0087","MARTI",2,"","0700EE0EDA",1,2020,2020,"first.year"
"3966",2019-11-18,"C5A1348","GRETI",6,"M","0700EE0F07",1,2019,2017,"adult"
"3969",2019-11-27,"C5A1425","GRETI",6,"M","0700EE0F38",2,2019,2017,"adult"
"3970",2019-12-04,"C5A1425","GRETI",6,"M","0700EE0F38",2,2019,2017,"adult"
"3971",2019-12-03,"C5A1479","NUTHA",5,"F","0700EE0F4D",1,2019,2018,"adult"
"3974",2019-07-10,"C5A1019","GRETI",3,"","0700EE0F98",1,2019,2019,"adult"
"3975",2020-11-05,"C3T2796","GRETI",4,"M","0700EE0F9E",1,2020,2019,"adult"
"3976",2020-01-16,"C5A1614","GRETI",5,"F","0700EE0FAC",1,2020,2019,"adult"
"3977",2020-11-26,"B5H0119","BLUTI",4,"M","0700EE0FBB",1,2020,2019,"adult"
"3978",2020-11-05,"C3T2142","GRETI",4,"F","0700EE0FC2",1,2020,2019,"adult"
"3979",2020-11-11,"C5H4304","GRETI",4,"M","0700EE0FCC",2,2020,2019,"adult"
"3980",2020-11-17,"C5H4304","GRETI",4,"M","0700EE0FCC",2,2020,2019,"adult"
"3982",2020-11-20,"B5H0094","BLUTI",3,"F","0700EE0FE9",1,2020,2020,"first.year"
"3983",2020-11-20,"C5H4357","GRETI",4,"M","0700EE1007",1,2020,2019,"adult"
"3986",2020-12-03,"C5H4393","GRETI",4,"M","0700EE1048",1,2020,2019,"adult"
"3987",2020-11-13,"C5A1512","GRETI",4,"F","0700EE1094",1,2020,2019,"adult"
"3988",2019-11-06,"C5A1259","GRETI",5,"F","0700EE10D3",2,2019,2018,"adult"
"3989",2020-09-29,"C5A1259","GRETI",4,"F","0700EE10D3",2,2020,2019,"adult"
"3991",2019-11-28,"C5A1433","GRETI",6,"M","0700EE10DF",1,2019,2017,"adult"
"3992",2020-08-11,"C5A1937","GRETI",3,"","0700EE10F1",1,2020,2020,"first.year"
"3994",2019-11-04,"C5A1228","GRETI",5,"F","0700EE1119",1,2019,2018,"adult"
"3995",2019-11-04,"C5A1247","GRETI",6,"M","0700EE112E",1,2019,2017,"adult"
"3997",2020-01-09,"C5A1577","GRETI",6,"M","0700EE1168",1,2020,2018,"adult"
"3998",2020-11-13,"C3T2674","GRETI",4,"M","0700EE1169",1,2020,2019,"adult"
"3999",2020-02-11,"C5A1684","GRETI",6,"F","0700EE117B",1,2020,2018,"adult"
"4001",2019-10-28,"C5A1192","GRETI",5,"M","0700EE1183",1,2019,2018,"adult"
"4002",2019-12-29,"C5A1516","NUTHA",2,"M","0700EE1190",1,2019,2019,"adult"
"4004",2019-10-23,"C5A1137","GRETI",6,"F","0700EE119A",1,2019,2017,"adult"
"4005",2019-10-23,"C5A1123","GRETI",5,"F","0700EE11A2",1,2019,2018,"adult"
